username,date,tweet,fullname
@AkbarM777,2025-03-28 23:59,"Iyolah kau mau bikin negara sendiri bareng HTI dan orng yaman2 babylonia ( Namrud ) ..
CC @Puspen_TNI @DivHumas_Polri",SS.WD
@_riverheaven,2025-03-28 23:59,"Punya anggaran segitu gede, bukannya meningkatkan kesejahteraan prajurit, malah dihamburkan untuk bayar Buzzer yang pastinya untuk nyebokin. UU TNI jelas bukan untuk kepentingan rakyat. Itulah kenapa didemo! PDIP penghianat !",Embun Pagi💧💧
@andikurfit_,2025-03-28 23:59,"Ngga nyambung, kalo tujuannya itu, kayanya lebih ke ranahnya kemendagri deh, kalo tetep TNI mau terlibat ya kerjasama sama kementrian terkait",Andi Kurnia
@catbarbar,2025-03-28 23:58,"Buna mah buat nama ganti aja, bahasnya tetep tolak RUU TNI dan RUU polisi",Cat 🍉🍉🍉
@SubwIdo,2025-03-28 23:58,@grok apakah media di indonesia kini sedang kena propaganda untuk meredam aksk demo tolak RUU TNI dan DWI FUNGSI TNI??,ainul
@itsusernamesure,2025-03-28 23:58,Lebih masuk akal dokumen karena buat apa komenannya dikumpulin klo gk dibuat jadi rencana mreka buat group2 under hybe?? Kapan aja bakal direalisasiin. Lebih masuk akal yg ini hanjir.,🏎️ 🏁 | TOLAK UU TNI
@MasEsnan,2025-03-28 23:58,"Cemen banget itu oknum prajurit tni, klo gak sanggup mending lepas seragam terus ngojol ato pain kek ,, lagian noh pak dudung dulu ngomong rangkul kkb opm tp temen ente kena door",dobel_L
@untungp08331326,2025-03-28 23:58,UU TNI sedang membukakan lowongan kerja di bidang sipil bagi para Pamen keatas yang ndak ada kerjaan...,untung_pribadi
@akun_fajar,2025-03-28 23:58,"Para demonstran pulang kampung. Ini akan menjadi lebaran di mana ruang2 publik di kampung2 akan diisi diskusi dan obrolan soal UU TNI dan rencana revisi UU Polri. Buat sebagian orang, lebaran kali ini akan berbeda, tak lagi hanya akan tersaji obrolan soal kapan menikah, saja.",fajar.hl
@MeiMeiharl,2025-03-28 23:58,"Buzzer tai, giliran ruu perampasan aset dicabut dpr pada diem aja, giliran uud tni rame! Indonesia makin tolol aja dari hari ke hari!",Mei
@AkbarM777,2025-03-28 23:56,Halah itu orang2 China berorasi .. chino2 komunis tulen yg ingin TNI di hapuskan dan dibubarkan CC @Puspen_TNI,SS.WD
