username,date,tweet,fullname
@kodimainjai,2025-03-28 23:55,"Babinsa Mannanti Pos Ramil 05/Tellulimpoe Kodim 1424/Sinjai Pantau Stabilitas Harga Sembako Di Pasar Tradisional Mannanti

#tniad
#dispenad
#puspentni
#TNIindonesia
#kodam14hasanuddin",Kodim 1424 Sinjai
@KodamJayakarta,2025-03-28 21:13,"Pangdam Jaya beserta Keluarga Besar Kodam Jaya/Jayakarta Mengucapkan :

Selamat Hari Raya Nyepi
Tahun Baru Saka 1947

#tniadmengabdidanmembangunbersamarakyat #tniad #tniadprima #kodamjaya #pangdamjaya #harirayanyepi",Kodam Jaya/Jayakarta
@kodamhasanuddin,2025-03-28 20:51,"Pangdam XIV/Hsn & Keluarga Besar Kodam XIV/Hsn Mengucapkan :

Selamat Hari Raya Nyepi

""Tahun Baru Saka 1947""

#tniad
#dispenad
#puspentni
#TNIindonesia",Kodam Hasanuddin
@kodam_mlw,2025-03-28 20:47,"Berbagi Takjil Kodim 0904/Paser Bersama Polres Paser, Jum’at (28/03/25)

#kodamvimulawarman
#tniad
#tniprima
#tni-polri
#marhabanyaramadhan",Kodam VI/Mulawarman
@1420_sidrap,2025-03-28 20:35,"Dandim 1420 Sidrap Bicara Tegas di Press Conference Pembunuhan Sadis

#tniad
#dispenad
#puspentni
#TNIindonesia
#kodam14hasanuddin
#korem141toddopuli",Kodim 1420 Sidrap
@kodam_mlw,2025-03-28 20:32,"Balikpapan - Indahnya Ramadhan 1446 H, Kodam VI/ Mulawarman Berbagi Takjil di Halaman Makodam VI/ Mulawarman, Jum’at (28 Maret 2025).

#kodamvimulawarman
#tniad
#tniprima
#marhabanyaramadhan",Kodam VI/Mulawarman
@penrem_051,2025-03-28 20:26,"Selamat Hari Raya Nyepi Tahun Baru Saka 1947
#puspentni #tni_angkatan_darat #tniadprima #tniad #dispenad #kodam_jayakarta #korem051wkt",KOREM 051 WKT
@KodamKasuari,2025-03-28 20:02,"Buka Bersama Keluarga Besar Yonif 761/KA dan Pengurus Persit KCK Cabang XLV Yonif 761/KA

#TNIAD #TNIADBerjuangBersamaRakyat #TNIADBekerjaDenganHati #TNIADdihatiRakyat #TNIADPrima",Kodam XVIII/Kasuari
@KodamKasuari,2025-03-28 20:01,"Latihan Penanggulangan Bencana Kebakaran Kodim 1802/Sorong Bekerja Sama Dengan Dinas Damkar Kota Sorong.

#TNIAD
#TNIADBerjuangBersamaRakyat
#TNIADBekerjaDenganHati
#TNIADdihatiRakyat
#TNIADPrima",Kodam XVIII/Kasuari
@tni_ad,2025-03-28 16:28,"SATGAS PAMTAS YONIF 614/RAJA PANDHITA, MEMBANGUN PEMBANGKIT LISTRIK TENAGA MIKROHIDRO
instagram.com/p/DHv-BHJONvl/

#TNIAD
#TNIADBerjuangBersamaRakyat
#TNIADBekerjaDenganHati
#TNIADdihatiRakyat
#TNIADPrima",TNI AD
@kodim1608bima,2025-03-28 16:11,"Selamat Hari Raya Nyepi, Tahun Baru Saka 1947.

@Puspen_TNI 
@tni_ad 
@Kodam9Udayana 
@Korem162W 

#puspentni #tniad #tnimengabdidanmembangunbersamarakyat #tniprima #tniselalubersamarakyat #tniselaludihati #kodamixudayana #korem162wirabhakti #kodimbima",@kodim1608bima
@tni_ad,2025-03-28 16:04,"SATGAS PAMTAS RI-PNG YONIF 512/QURATARA YUDHA, KEMBALI MENEMUKAN LAHAN GANJA
instagram.com/p/DHv7ZzCPq5F/

#TNIAD
#TNIADBerjuangBersamaRakyat
#TNIADBekerjaDenganHati
#TNIADdihatiRakyat
#TNIADPrima",TNI AD
@tni_ad,2025-03-28 15:49,"KARYA NYATA SATGAS RDB XXXIX-F MONUSCO UNTUK RAKYAT KONGO
instagram.com/p/DHv5auKNh34/

#TNIAD
#TNIADBerjuangBersamaRakyat
#TNIADBekerjaDenganHati
#TNIADdihatiRakyat
#TNIADPrima",TNI AD
@kodim_jeneponto,2025-03-28 14:35,"Bazar Murah Dalam Rangka Menyambut Hari Raya Idul Fitri 1446 H

#tni
#tniindonesia
#puspentni
#tniad
#kodam14hasanuddin
#korem141toddoppuli
#tnimanunggalrakyat
#persit",Kodim_Jeneponto
@kodam_mlw,2025-03-28 12:33,"KEPEDULIAN TNI DI TENGAH MASYARAKAT YONIF 611 / AWANG LONG

#Kodamvimulawarman
#tniad 
#tniprima",Kodam VI/Mulawarman
@kodam_mlw,2025-03-28 12:01,"Apel Sinergitas TNI-POLRI Dalam Rangka Pengamanan Idul Fitri 1446 H di Paser. (27/03/2025)

#Kodamvimulawarman
#tniad 
#tniprima 
#tnipolri",Kodam VI/Mulawarman
@04_pedan,2025-03-28 12:00,"Keluarga Besar
Kodim 0723 Klaten
Persit Kartika Chandra Kirana Cab XLIV 
Mengucapkan
Selamat Hari Raya Nyepi

#kodimklaten #tni #tniad #kodamivdiponegoro #korem074wrt #nyepi2025",KORAMIL PEDAN
@kodam_mlw,2025-03-28 11:34,"Selamat Hari Raya Nyepi
Tahun Baru Saka 1947 / 29 Maret 2025

#Kodamvimulawarman
#tniad 
#tniprima",Kodam VI/Mulawarman
@tni_ad,2025-03-28 11:13,"Selamat Hari Raya Nyepi Tahun Baru Saka 1947

#TNIAD
#TNIADBerjuangBersamaRakyat
#TNIADBekerjaDenganHati
#TNIADdihatiRakyat
#TNIADPrima",TNI AD
@kodim1418mamuju,2025-03-28 11:00,"""Dandim 1418/Mamuju Bersama Forkopimda Cek Kesiapan Posko Operasi Ketupat Marano 2025, Pastikan Arus Mudik dan Lebaran Aman""

#tniad
#dispenad
#puspentni
#TNIindonesia
#kodam14hasanuddin",Kodim1418/Mamuju
@KodamKasuari,2025-03-28 10:58,"Masih dalam bulan suci ramadhan Kodim 1803/Fakfak Terus Konsisten Memberikan takjil gratis di setiap harinya bagi pengemudi kendaraan yg melintas di depan Makodim 1803/Fakfak, kegiatan ini bertujuan agar terus terjalin hubungan baik

#TNIAD
#TNIADBerjuangBersamaRakyat
#TNIADPrima",Kodam XVIII/Kasuari
@89Pagama33345,2025-03-28 10:56,"Rakyat bersama TNI melaksanakan tugas negara.

Darma Bakti TNI untuk negeri : Hadir, Peduli dan Mengabdi dalam Penaggulangan Bencana.

#tniad
#dispenad 
#puspentni
#TNIindonesia",Kodim Soppeng
@KodamKasuari,2025-03-28 10:56,"Guna mengendalikan harga bahan pokok di pasaran, Forkopimda Kab Teluk Wondama menggelar Operasi Pasar pada Jumat (28/03/2025) dalam rangka memastikan stabilitas pasokan dan harga pangan menjelang Hari Raya Idul Fitri 1446 H.

#TNIAD
#TNIADBerjuangBersamaRakyat
#TNIADdihatiRakyat",Kodam XVIII/Kasuari
@takalar_kodim,2025-03-28 10:51,"Perkuat Sinergitas TNI Polri Dan Masyarakat Di Takalar, Gelar Aksi Sosial Berbagi Takjil Buka Puasa 

#tniad
#dispenad
#puspentni
#TNIindonesia
#kodam14hasanuddin
#korem141toddopuli",Kodim_Takalar
@KodamKasuari,2025-03-28 10:45,"Pembagian Takjil Balak-balak Ajendam, Kumdam, Kudam Wilayah Kodam XVIII/Kasuari

#TNIAD
#TNIADBerjuangBersamaRakyat
#TNIADBekerjaDenganHati
#TNIADdihatiRakyat
#TNIADPrima",Kodam XVIII/Kasuari
@kodamhasanuddin,2025-03-28 10:41,"Indahnya Berbagi, Eratkan Kasih di Hari Kemenangan.
Pemberian Bingkisan Lebaran dari Bapak Pangdam XIV/Hsn kepada Masyarakat yang tidak mampu.

#tniad
#dispenad
#puspentni
#TNIindonesia",Kodam Hasanuddin
@kodamhasanuddin,2025-03-28 10:34,"Sinergi dan Kebersamaan dalam Keberkahan Ramadhan.
Buka puasa bersama TNI-Polri dan ASN Pemda Kab. Bone.

#tniad
#dispenad
#puspentni
#TNIindonesia",Kodam Hasanuddin
@korem091asn,2025-03-28 10:16,"Danrem 091/ASN   Beserta Keluarga Besar dan Jajaran Korem 091/ASN Mengucapkan  Selamat Hari Raya Nyepi 2025
#tni_angkatan_darat #kodam_mlw #tniprima #profesional #responsif #integratif #modern #adaptif # #tentararakyat #infokomando #tniad #korem091asn #korem091",KOREM 091/ASN
@kodim1421pangk2,2025-03-28 09:00,"Rakyat bersama TNI melaksanakan tugas negara.

Manunggal Air Bersih: Wujud Nyata Kepedulian TNI untuk Rakyat

#tniad
#dispenad
#puspentni
#TNIindonesia
#kodam14hasanuddin 
#korem141toddopuli",Info Kodim Pangkep
@KodamKasuari,2025-03-28 08:37,"Karya Bakti Gabungan Kodim, Polres, dan Pemda dalam rangka menjaga Kebersihan lingkungan dan menyambut hari raya Idul Fitri 1446 H tahun 2025 di Kabupaten Pegunungan Arfak.

#TNIAD
#TNIADBerjuangBersamaRakyat
#TNIADBekerjaDenganHati
#TNIADdihatiRakyat
#TNIADPrima",Kodam XVIII/Kasuari
@KodamKasuari,2025-03-28 08:24,"Sambil bagikan Takjil Masyarakat Seruhkan Dukungang UU TNI Angkatan Darat

#TNIAD
#TNIADBerjuangBersamaRakyat
#TNIADBekerjaDenganHati
#TNIADdihatiRakyat
#TNIADPrima",Kodam XVIII/Kasuari
@Kodam12Tpr,2025-03-28 08:12,"Tanjungpura News Edisi 22 Bulan Maret 2025.
piped.video/DCkaOKH13Gs?si=GIDf…

#TNI #TNIAD #kodamtanjungpura  #tanjungpuranews",Kodam Tanjungpura
@KodamKasuari,2025-03-28 08:11,"Komandan Kodim 1802/Sorong Letkol Czi Angga Wijaya S.IP.MA.  mengambil apel pemberangkatan cuti hari Raya Idul Fitri 1446 H Tahun 2025 dan memberikan beberapa penekanan untuk dipedomani oleh seluruh anggotanya

#TNIAD
#TNIADBerjuangBersamaRakyat
#TNIADdihatiRakyat",Kodam XVIII/Kasuari
@KodamKasuari,2025-03-28 08:10,"Latihan Penanggulangan Bencana Kebakaran Kodim 1802/Sorong Bekerja Sama Dengan Dinas Damkar Kota Sorong.

#TNIAD
#TNIADBerjuangBersamaRakyat
#TNIADBekerjaDenganHati
#TNIADdihatiRakyat
#TNIADPrima",Kodam XVIII/Kasuari
@KodamKasuari,2025-03-28 08:09,"Apel Bersama TNI, POLRI dan  Pemda Papua Barat Daya : Sinergi Untuk Keamanan Hari Raya Nyepi dan Idul Fitri 1446 H Tahun 2025.

#TNIAD
#TNIADBerjuangBersamaRakyat
#TNIADBekerjaDenganHati
#TNIADdihatiRakyat
#TNIADPrima",Kodam XVIII/Kasuari
@KodamKasuari,2025-03-28 08:07,"Komandan korem 182/Jo pimpin pemberangkatan apel cuti Hari Raya Idul Fitri

#TNIAD
#TNIADBerjuangBersamaRakyat
#TNIADBekerjaDenganHati
#TNIADdihatiRakyat
#TNIADPrima",Kodam XVIII/Kasuari
@KodamKasuari,2025-03-28 08:06,"Dalam rangka menyambut cuti bersama Idul Fitri 1446 H/2025 M, Kodim 1806/Teluk Bintuni menggelar apel siaga pagi pada Jumat (28/03/2025). Apel yang diikuti oleh 37 personel ini berlangsung di halaman Markas Kodim dan bertujuan memastikan kesiapan dalam menjaga keamanan 

#TNIAD",Kodam XVIII/Kasuari
@KodamKasuari,2025-03-28 08:03,"Ciptakan Ketahanan Pangan Yang Kuat, Babinsa Warmare Bantu Petani Dalam Pembuatan Lahan Bedeng

#TNIAD
#TNIADBerjuangBersamaRakyat
#TNIADBekerjaDenganHati
#TNIADdihatiRakyat
#TNIADPrima",Kodam XVIII/Kasuari
@KodamKasuari,2025-03-28 08:02,"Upaya mendukung sektor pertanian dan ketahanan pangan di wilayah, Babinsa Koramil 1801-02/Warmare Sertu Nasirin membantu para petani membuat lahan bedeng

#TNIAD
#TNIADBerjuangBersamaRakyat
#TNIADBekerjaDenganHati
#TNIADdihatiRakyat
#TNIADPrima",Kodam XVIII/Kasuari
@KodamKasuari,2025-03-28 08:00,"Semangat kebersamaan dan keberkahan bulan Ramadhan terpancar jelas di Kota Teluk Bintuni, ketika Tentara Nasional Indonesia (TNI) dan Kepolisian Republik Indonesia (Polri) wilayah Kabupaten Teluk Bintuni 

#TNIAD
#TNIADBerjuangBersamaRakyat
#TNIADBekerjaDenganHati
#TNIAD",Kodam XVIII/Kasuari
